2022-05-21 11:31:20.243571 | Importing data==>37905f086c46d416 
2022-05-21 11:32:23.353684 | Importing data==>37905f086c46d416 
2022-05-21 11:37:20.461866 | Importing data==>37905f086c46d416 
2022-05-21 11:39:08.527286 | Importing data==>37905f086c46d416 
2022-05-21 11:58:29.785301 | Importing data==>37905f086c46d416 
2022-05-21 11:59:14.759233 | Importing data==>37905f086c46d416 
2022-05-21 11:59:51.338611 | Importing data==>37905f086c46d416 
2022-05-21 12:02:24.050911 | Importing data==>37905f086c46d416 
2022-05-21 12:03:32.203817 | Importing data==>37905f086c46d416 
2022-05-21 12:10:29.584061 | Importing data==>79435f784571ade9 
2022-05-21 12:19:01.107715 | Importing data==>79435f784571ade9 
2022-05-21 12:22:09.072632 | Importing data==>79435f784571ade9 
2022-05-21 12:24:27.438057 | Importing data==>79435f784571ade9 
2022-05-21 12:25:01.302429 | Importing data==>79435f784571ade9 
2022-05-21 12:25:39.482735 | Importing data==>79435f784571ade9 
2022-05-21 12:26:03.088108 | Importing data==>79435f784571ade9 
2022-05-21 12:29:53.554784 | Importing data==>79435f784571ade9 
2022-05-21 12:30:43.936659 | Importing data==>79435f784571ade9 
2022-05-21 12:30:55.466634 | Importing data==>79435f784571ade9 
2022-05-21 12:31:07.177389 | Pre-filtered data import 
2022-05-21 12:31:07.177449 | Pre-filtered data import completed!!! 
2022-05-21 12:31:07.177470 | Appending Done!!! 
2022-05-21 12:31:07.177760 | Sorting Done!!! 
2022-05-21 12:32:12.186921 | Importing data==>79435f784571ade9 
2022-05-21 12:32:23.627477 | Pre-filtered data import 
2022-05-21 12:32:23.627529 | Pre-filtered data import completed!!! 
2022-05-21 12:32:23.627549 | Appending Done!!! 
2022-05-21 12:32:23.627833 | Sorting Done!!! 
2022-05-21 12:33:10.918286 | Importing data==>79435f784571ade9 
2022-05-21 12:33:22.111929 | Pre-filtered data import 
2022-05-21 12:33:22.111981 | Pre-filtered data import completed!!! 
2022-05-21 12:33:22.112000 | Appending Done!!! 
